partner_key,legacy_partner_source,legacy_partner_id,legacy_partner_ids,name,company_type,customer_rank,supplier_rank,sc_supplier_type,sc_account_name,sc_bank_name,sc_bank_account,vat,legacy_credit_code,source_created_by,source_created_at,source_project_name,source_document_state,source_push_result,source_tax_rate,source_files,legacy_source_evidence,review_flags
name:金牛区得亿电气设备经营部,xlsx_supplier_cooperat_company,name:金牛区得亿电气设备经营部,,金牛区得亿电气设备经营部,company,0,1,other,,,,,,luohao,2021-11-22 10:19,公司综合平台,审核通过,,,2-5往来单位639136898994232500.xlsx,user_xlsx_supplier_cooperat_company:2-5往来单位639136898994232500.xlsx,duplicate_name_in_xlsx
name:金牛区荣大宇五金经营部,xlsx_supplier_cooperat_company,name:金牛区荣大宇五金经营部,,金牛区荣大宇五金经营部,company,0,1,other,,,,,,lilinxu,2020-12-22 15:06,公司综合平台,审核通过,,,2-6往来单位639136899858138750.xlsx,user_xlsx_supplier_cooperat_company:2-6往来单位639136899858138750.xlsx,duplicate_name_in_xlsx
name:金阳县永乐商贸有限公司,xlsx_supplier_cooperat_company,name:金阳县永乐商贸有限公司,,金阳县永乐商贸有限公司,company,0,1,other,,,,,,lilinxu,2021-06-28 16:35,公司综合平台,审核通过,,,2-6往来单位639136899858138750.xlsx,user_xlsx_supplier_cooperat_company:2-6往来单位639136899858138750.xlsx,duplicate_name_in_xlsx
name:金阳吉丰建筑工程有限公司,xlsx_supplier_cooperat_company,name:金阳吉丰建筑工程有限公司,,金阳吉丰建筑工程有限公司,company,0,1,other,,,,,,luyan,2021-07-28 15:58,公司综合平台,审核通过,,,2-6往来单位639136899858138750.xlsx,user_xlsx_supplier_cooperat_company:2-6往来单位639136899858138750.xlsx,duplicate_name_in_xlsx
name:钟勇,xlsx_supplier_cooperat_company,name:钟勇,,钟勇,person,0,1,other,,,,,,yangdesheng,2021-01-14 09:24,公司综合平台,审核通过,,,2-6往来单位639136899858138750.xlsx,user_xlsx_supplier_cooperat_company:2-6往来单位639136899858138750.xlsx,duplicate_name_in_xlsx
name:铜梁区春林建筑设备租赁站,xlsx_supplier_cooperat_company,name:铜梁区春林建筑设备租赁站,,铜梁区春林建筑设备租赁站,person,0,1,other,,,,,,wuran,2020-03-05 15:57,公司综合平台,审核通过,,,2-7往来单位639136900577513750.xlsx,user_xlsx_supplier_cooperat_company:2-7往来单位639136900577513750.xlsx,duplicate_name_in_xlsx
name:销进项税金+管理费,xlsx_supplier_cooperat_company,name:销进项税金+管理费,,销/进项 税金+管理费,person,0,1,other,,,,,,倪德珍,2024-07-11 14:40,公司综合平台,审核通过,,0%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,invalid_or_placeholder_credit
name:销项税金,xlsx_supplier_cooperat_company,name:销项税金,,销项税金,person,0,1,other,,,,,,倪德珍,2025-01-13 00:00,公司综合平台,审核通过,,0%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,invalid_or_placeholder_credit
name:错误不选择经济技术开发区名翔建材经营部,xlsx_supplier_cooperat_company,name:错误不选择经济技术开发区名翔建材经营部,,（错误不选择）经济技术开发区名翔建材经营部,company,0,1,other,,,,,,lilinxu,2021-12-14 17:09,公司综合平台,审核通过,,,2-6往来单位639136899858138750.xlsx,user_xlsx_supplier_cooperat_company:2-6往来单位639136899858138750.xlsx,duplicate_name_in_xlsx
name:长寿区众合诚机械设备租赁经营部,xlsx_supplier_cooperat_company,name:长寿区众合诚机械设备租赁经营部,,长寿区众合诚机械设备租赁经营部,company,0,1,other,,,,,,lilinxu,2023-02-08 11:06,公司综合平台,审核通过,,,2-4往来单位639136898155170000.xlsx,user_xlsx_supplier_cooperat_company:2-4往来单位639136898155170000.xlsx,duplicate_name_in_xlsx
name:阳光财产保险股份有限公司重庆市涪陵中心支公司,xlsx_supplier_cooperat_company,name:阳光财产保险股份有限公司重庆市涪陵中心支公司,,阳光财产保险股份有限公司重庆市涪陵中心支公司,company,0,1,other,,,,,,yinjiamei,2023-08-09 12:50,公司综合平台,审核通过,,,2-4往来单位639136898155170000.xlsx,user_xlsx_supplier_cooperat_company:2-4往来单位639136898155170000.xlsx,duplicate_name_in_xlsx
name:陆永昌,xlsx_supplier_cooperat_company,name:陆永昌,,陆永昌,person,0,1,other,,,,,,luyan,2022-01-14 15:03,公司综合平台,审核通过,,,2-5往来单位639136898994232500.xlsx,user_xlsx_supplier_cooperat_company:2-5往来单位639136898994232500.xlsx,duplicate_name_in_xlsx
name:陈张强,xlsx_supplier_cooperat_company,name:陈张强,,陈张强,person,0,1,other,,,,,,lilinxu,2020-12-31 15:49,公司综合平台,审核通过,,,2-6往来单位639136899858138750.xlsx,user_xlsx_supplier_cooperat_company:2-6往来单位639136899858138750.xlsx,duplicate_name_in_xlsx
name:陈晖,xlsx_supplier_cooperat_company,name:陈晖,,陈晖,person,0,1,other,,,,,,luyan,2021-09-13 15:18,公司综合平台,审核通过,,,2-6往来单位639136899858138750.xlsx,user_xlsx_supplier_cooperat_company:2-6往来单位639136899858138750.xlsx,duplicate_name_in_xlsx
name:陈道俊,xlsx_supplier_cooperat_company,name:陈道俊,,陈道俊,person,0,1,other,,,,,,luyan,2021-09-18 08:45,公司综合平台,审核通过,,,2-6往来单位639136899858138750.xlsx,user_xlsx_supplier_cooperat_company:2-6往来单位639136899858138750.xlsx,duplicate_name_in_xlsx
name:雅安市诚品装饰工程有限公司,xlsx_supplier_cooperat_company,name:雅安市诚品装饰工程有限公司,,雅安市诚品装饰工程有限公司,company,0,1,other,,,,,,lilinxu,2021-12-23 15:40,公司综合平台,审核通过,,,2-5往来单位639136898994232500.xlsx,user_xlsx_supplier_cooperat_company:2-5往来单位639136898994232500.xlsx,duplicate_name_in_xlsx
